id,source_file_id,airport_icao,source_page,raw_text,reason
1,1,ZLLL,6,"山
060 | 山 |  | N364859 |  | 2484 |  |  | RWY19 ILS/DME起始进近控制",编号 060：缺少方位/距离
2,1,ZLLL,7,"山
067 | 山 |  | N365426 |  | 2553 |  |  | RWY18L/18R/19 PBN进场控制障",编号 067：缺少方位/距离
3,1,ZLLL,7,"地形
070 | 山 |  | N364720 |  | 2377 |  |  | RWY19 RNAV ILS/DME x 复飞",编号 070：缺少方位/距离
4,1,ZLLL,7,"山体
072 | 山 |  | N364654 |  | 2334 |  |  | RWY18L/18R/19传统进场控制障",编号 072：缺少方位/距离
5,1,ZLLL,8,"山体
073 | 山 |  | N364914 |  | 2389 |  |  | RWY18L/18R/19传统进场控制障",编号 073：缺少方位/距离
6,1,ZLLL,8,"山体
075 | 山 |  | N364752 |  | 2350 |  |  | RWY18L/18R/19 PBN进场控制障",编号 075：缺少方位/距离
7,1,ZLLL,9,"柳树沟山
088 | 山 |  | N362046 |  | 2304 |  |  | 监视引导01扇区重要障物；",编号 088：缺少方位/距离
8,1,ZLLL,10,"山
095 | 山 |  | N362042 |  | 2115 |  |  | RWY36L PBN中间进近、",编号 095：缺少方位/距离
9,1,ZLLL,10,"山体
098 | 山 |  | N362143 |  | 2055 |  |  | RWY36L GP INOP最后进近控制",编号 098：缺少方位/距离
10,1,ZLLL,11,"山体
110 | 山 |  | N362509 |  | 2316 |  |  | RWY18L/18R/19 PBN进场控制障",编号 110：缺少方位/距离
11,1,ZLLL,11,"山
113 | 山 |  | N362609 |  | 2462 |  |  | RWY18L/18R PBN离场控制障碍",编号 113：缺少方位/距离
12,1,ZLLL,12,"山体
120 | 山 |  | N363338 |  | 2425 |  |  | RWY18L/18R/19 PBN进场控制障",编号 120：缺少方位/距离
13,1,ZLLL,13,"山
127 | 山 |  | N364431 |  | 2319 |  |  | RWY18L/18R PBN离场控制障碍",编号 127：缺少方位/距离
14,1,ZLLL,13,"山
129 | 山 |  | N364023 |  | 2260 |  |  | RWY36L/36R传统离场控制障碍",编号 129：缺少方位/距离
15,1,ZLLL,13,"山体
130 | 山 |  | N364901 |  | 2542 |  |  | RWY18L/18R/19传统进场控制障",编号 130：缺少方位/距离
